Ticker,Market Cap,P/S,LTP,Book Value
MAANALU.NS,92,0.2293083,134.7,94.75
MADHAV.NS,50,0.80785686,56.1,123.29
MADHUCON.NS,35,0.03240477,4.9,-222.991
MADRASFERT.NS,475,0.26202792,29.7,-40.257
MAGNUM.NS,30,0.19027431,8,-11.274
MAHSEAMLES.NS,2138,0.8421642,324.05,493.04
MALUPAPER.NS,58,0.34719867,34.85,14.647
MANAKALUCO.NS,144,0.531014,23.1,16.437
MANAKCOAT.NS,94,0.21138221,14.05,15.144
MANAKSIA.NS,434,0.4511123,67.1,144.672
MANAKSTEEL.NS,229,0.42970324,35.65,33.943
MANGALAM.NS,233,0.6154708,148.95,82.679
MANGCHEFER.NS,877,0.3814476,75,51.13
MANGLMCEM.NS,1292,0.9958348,487.85,255.382
MANINDS.NS,635,0.30108267,112.8,146.249
MANUGRAPH.NS,38,0.797855,13.05,42.959
MARALOVER.NS,320,0.4056876,81,23.559
MAWANASUG.NS,345,0.24181284,88.75,67.395
MBECL.NS,160,0.31938303,7.15,-1.863
MBLINFRA.NS,203,0.9617345,19.25,76.359
MCLEODRUSS.NS,293,0.21645173,27.9,183.537
MEP.NS,391,0.31037003,22.25,6.076
MERCATOR.NS,57,0.1411208,2,-39.747
METALFORGE.NS,23,0.15943557,5.4,-334.818
METKORE.NS,4,-26.20856,0.65,0.557
MIRCELECTR.NS,431,0.51087445,18.25,9
MIRZAINT.NS,691,0.70131683,58.95,51.52
MMTC.NS,6735,0.27241522,45.7,5.088
MOHITIND.NS,18,0.12310124,13.3,38.094
MORARJEE.NS,57,0.29351795,16.2,6.112
MRO-TEK.NS,115,0.97190964,58.7,-3.245
MRPL.NS,7876,0.20237528,45.05,24.22
MSPL.NS,381,0.19002545,10.05,15.361
MTEDUCARE.NS,62,0.6645483,8.95,23.303
MTNL.NS,1174,0.8900732,19.55,-235.033
MUKANDLTD.NS,2052,0.6401203,143.9,32.706
MUNJALAU.NS,580,0.2460594,59.25,28.442
MUNJALSHOW.NS,540,0.45355326,136.9,154.604
NAGREEKCAP.NS,9,0.37211603,7.4,19.377
NAGREEKEXP.NS,42,0.09403354,33.9,78.514
NAHARINDUS.NS,452,0.31941247,116.1,186.474
NAHARSPING.NS,1399,0.662861,401.65,246.8
NAKODA.NS,1,0.000523014,0.05,23.442
NATNLSTEEL.NS,17,0.011090373,4.05,-255.452
NAVKARCORP.NS,644,0.9581426,43.75,121.21
NBVENTURES.NS,1958,0.7683375,116.9,274.683
NCC.NS,4878,0.5597417,82.9,84.986
NCLIND.NS,1082,0.61737555,240.75,132.322
NDL.NS,350,0.314933,74.85,94.244
NECCLTD.NS,103,0.38595682,21.55,18.105
NECLIFE.NS,660,0.4292195,30.4,50.111
NFL.NS,2793,0.23400968,55.7,21.538
NIBL.NS,46,0.82660306,19.4,0.448
NIPPOBATRY.NS,393,0.7397424,1048.35,612.048
NITCO.NS,163,0.4952658,23.2,-9.998
NITINFIRE.NS,44,0.049853466,1.55,11.778
NITINSPIN.NS,1153,0.70996505,210.55,100.168
OISL.NS,27,0.058905203,1.85,-31.618
OMAXAUTO.NS,103,0.5802245,50.5,118.919
OMKARCHEM.NS,39,0.87047434,18.1,-82.479
ONGC.NS,160778,0.44589803,128.7,167.112
ORICONENT.NS,519,0.7766215,34.65,61.383
ORIENTALTL.NS,24,0.56253916,8.8,36.301
ORIENTBELL.NS,492,0.90145296,346.9,162.407
ORIENTLTD.NS,69,0.49056828,70.25,73.813
ORTEL.NS,3,0.05289019,1.2,-20.83
PANAMAPET.NS,1732,0.94238955,286.75,92.738
PARABDRUGS.NS,34,0.46530887,5.5,-148.975
PARACABLES.NS,248,0.4788355,13.15,10.455
PATELENG.NS,787,0.37438655,17.35,58.65
PATINTLOG.NS,59,0.27967983,23.4,69.965
PATSPINLTD.NS,30,0.20177777,9.45,4.775
PCJEWELLER.NS,1179,0.41743,25.5,105.318
PDMJEPAPER.NS,375,0.7764896,40.05,32.686
PDSMFL.NS,3411,0.49247202,1350.8,248.37
PEARLPOLY.NS,26,0.2350121,15.9,17.641
PENIND.NS,426,0.30035284,31,40.393
PGIL.NS,706,0.47366324,324.95,237.334
PIONEEREMB.NS,171,0.64305484,66.25,41.679
PONNIERODE.NS,210,0.80997443,245.85,379.642
POWERMECH.NS,1271,0.73790693,880,589.088
PRADIP.NS,4,0.17092709,0.95,-212.761
PRAKASH.NS,1272,0.34224492,71.7,168.365
PRECOT.NS,273,0.434978,236.3,253.137
PRECWIRE.NS,568,0.27135593,256.25,126.27
PREMIERPOL.NS,142,0.7468691,71,22.865
PSB.NS,7234,-15.42849,18.6,87.275
PSL.NS,6,0.039606392,0.45,-237.725
PTC.NS,2928,0.15964715,100.25,145.501
PUNJLLOYD.NS,62,0.012220618,1.8,-61.115
RADAAN.NS,8,0.94982046,1.45,-0.558
RAIN.NS,7996,0.6743958,237.9,164.518
RAJESHEXPO.NS,17179,0.071183585,613.75,366.227
RAJRAYON.NS,8,-1804.448,0.25,-17.166
RAJSREESUG.NS,75,0.21846238,27.35,1.598
RAJVIR.NS,3,0.20674762,7.25,-281.624
RAMANEWS.NS,275,0.84604496,19.05,22.514
RAMASTEEL.NS,430,0.9140706,258.85,66.296
RAMKY.NS,1049,0.97045547,154,45.734
RANASUG.NS,396,0.3234617,26.25,21.825
RANEENGINE.NS,205,0.592704,313.55,156.409
RANEHOLDIN.NS,891,0.375944,632.8,531.558
RAYMOND.NS,2783,0.67738247,426,301.149
RCF.NS,4085,0.4513674,75.6,60.367
REDINGTON.NS,5601,0.09374041,145.15,126.723
REFEX.NS,318,0.5275909,158.5,58.056
