Ticker,Book Value,EVToEBITDA,PToBV,MarketCap,PToSales,Close
GILLETTE.NS,285.018,38.212,20.860086,19373,10.067205,6026.1
GINNIFILA.NS,33.158,3.939,0.9997587,234,0.26994732,34.65
GIPCL.NS,192.605,3.298,0.4270398,1244,0.9603042,83.4
GISOLUTION.NS,6.858,22222,0.3937008,2,11.630263,2.6
GITANJALI.NS,560.95,10.491,0.0018718245,12,0.0006848981,1.05
GKWLIMITED.NS,335.437,20.368,1.9850224,397,21.272871,651.15
GLAXO.NS,88.92,34.925,17.307129,26085,7.8093734,1572.95
GLENMARK.NS,250.42,7.95,2.0719192,14649,1.2613163,535.4
GLFL.NS,-1.652,-38.291,22222,9,308.55563,3.25
GLOBALVECT.NS,34.19,14.814,1.5779469,76,0.25745034,52.3
GLOBUSSPR.NS,203.206,7.168,6.4505973,3775,3.0672054,1277.8
GMBREW.NS,276.293,11.705,2.1098979,1066,1.2033113,583.2
GMDCLTD.NS,141.804,-89.444,0.48482412,2186,1.6324577,70.4
GMRINFRA.NS,-0.02,41.498,22222,18986,3.1284976,32.15
GNFC.NS,390.438,3.182,0.856346,5196,1.013209,339.85
GOACARBON.NS,83.272,61.187,4.4252567,337,0.95586646,374.9
GOCLCORP.NS,216.379,132.831,1.2323284,1323,2.9279294,267.4
GODFRYPHLP.NS,450.223,8.707,2.3305118,5456,2.00271,1050.7
GODREJCP.NS,92.366,40.709,11.807375,111512,10.111216,1104.7
GODREJIND.NS,224.543,27.518,2.4351683,18403,1.6862551,554.95
